dataset,index,direction,variant,mapping_cpu,mapping_wall,capped,best_representative_events,best_verified_events,full_representatives,target_score,target_status,recovery
holdout,132,R_to_P,metal_binary,1.2233567770000002,0.29588435776531696,False,4,,153,,,unknown
holdout,133,R_to_P,original,2.4090979759999995,0.47933842055499554,False,2,,46,,,unknown
holdout,133,R_to_P,metal_binary,2.3990020539999994,0.4934774739667773,False,2,,46,,,unknown
holdout,134,R_to_P,original,1.7138691060000002,0.39586203917860985,False,6,,20,,,unknown
holdout,134,R_to_P,metal_binary,1.6817673720000004,0.3889527749270201,False,6,,20,,,unknown
holdout,135,R_to_P,original,4.1292920870000005,2.2163117229938507,True,4,,1965,,,unknown
holdout,135,R_to_P,metal_binary,4.132530052999999,2.2229228168725967,True,4,,1965,,,unknown
holdout,136,R_to_P,original,1.5805484589999999,0.48617471288889647,False,4,,475,,,unknown
holdout,136,R_to_P,metal_binary,0.9586655699999999,0.251449566334486,False,4,,94,,,unknown
holdout,137,R_to_P,original,1.7305778840000001,0.5414685569703579,False,4,,626,,,unknown
holdout,137,R_to_P,metal_binary,1.7489742809999997,0.5588550539687276,False,4,,626,,,unknown
holdout,138,R_to_P,original,2.1145126549999995,0.5773884197697043,False,3,,118,,,unknown
holdout,138,R_to_P,metal_binary,2.1262174600000003,0.56513103377074,False,3,,118,,,unknown
holdout,139,R_to_P,original,0.7310206700000002,0.2037251964211464,False,2,,6,,,unknown
holdout,139,R_to_P,metal_binary,0.7259208239999999,0.2018854208290577,False,2,,6,,,unknown
golden,691,R_to_P,original,1.3852231370000003,0.35469652339816093,False,,,,,,recovered
golden,691,R_to_P,metal_binary,1.4172300970000005,0.35133964475244284,False,,,,,,recovered
golden,691,P_to_R,original,1.1079264610000001,0.2687748810276389,False,,,,,,recovered
golden,691,P_to_R,metal_binary,1.1211906199999997,0.28001973032951355,False,,,,,,recovered
golden,692,R_to_P,original,3.521635629,0.9411617331206799,True,,,,,,recovered
golden,692,R_to_P,metal_binary,3.5466766180000002,0.9422435453161597,True,,,,,,recovered
golden,692,P_to_R,original,2.3885003650000005,0.9554577739909291,True,,,,,,recovered
golden,692,P_to_R,metal_binary,2.450311827,0.9938048142939806,True,,,,,,recovered
golden,904,R_to_P,original,3.610134734,1.110914621502161,True,,,,,,not_recovered
golden,904,R_to_P,metal_binary,3.6456513050000003,1.118857421912253,True,,,,,,not_recovered
golden,904,P_to_R,original,2.235954315,0.6424603126943111,True,,,,,,recovered
golden,904,P_to_R,metal_binary,2.3289385479999996,0.6864739479497075,True,,,,,,recovered
golden,937,R_to_P,original,0.48637184699999997,0.13755722530186176,False,,,,,,recovered
golden,937,R_to_P,metal_binary,0.492984675,0.14631941635161638,False,,,,,,recovered
golden,937,P_to_R,original,0.5060518149999998,0.13046875316649675,False,,,,,,recovered
golden,937,P_to_R,metal_binary,0.50054063,0.13728160876780748,False,,,,,,recovered
golden,959,R_to_P,original,0.548847728,0.1477552531287074,False,,,,,,recovered
golden,959,R_to_P,metal_binary,0.5395721189999998,0.1360343275591731,False,,,,,,recovered
golden,959,P_to_R,original,0.652041398,0.17593937553465366,False,,,,,,recovered
golden,959,P_to_R,metal_binary,0.6494206699999999,0.18574598338454962,False,,,,,,recovered
golden,1093,R_to_P,original,4.425673776,1.5432494226843119,True,,,,,,recovered
