index,direction,host,cpu_models,search_process_exit,search_complete,capped,terminals,cut_count,compute_cpu_seconds,elapsed_wall_including_io,persistence_cpu_seconds,persistence_summed_wall_seconds,loading_cpu_seconds,ranking_cpu_seconds,ranking_wall_seconds,ranking_saving_wall_seconds,verification_cpu_seconds,verification_wall_seconds,reference_recovery
846,R_to_P,bosque44,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,57781,79,677.21539204,147.1787796644494,128.094987086,172.00421948824078,21.050802874,40.086594097,40.087287209928036,0.3923046886920929,75.397842815,75.39909442421049,recovered
846,P_to_R,bosque44,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,21537,79,255.43263134900002,56.225105453282595,43.86982319999997,45.70423818193376,8.034118451000001,15.195832521999998,15.196839457377791,0.24515974894165993,28.524777557000004,28.525515297427773,recovered
847,R_to_P,bosque56,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,8154,50,45.744475845,9.281914515187964,5.9545669509999986,11.832027654862031,1.105108204,2.904949758,2.905062824487686,0.10922541562467813,5.777017155,5.77727460488677,recovered
847,P_to_R,bosque53,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,7648,52,49.52248772699999,11.85741541092284,7.7250742830000005,10.423908681608737,1.5773239899999998,2.6639894209999997,2.664132921025157,0.13917712215334177,6.0380486630000005,6.038366914726794,recovered
848,R_to_P,bosque53,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,19598,54,56.34163899699999,13.923680495936424,8.623720288000005,21.274567913962528,1.8383277150000001,4.862901943,4.863002087920904,0.03441952634602785,13.485148363,13.485727661289275,recovered
848,P_to_R,bosque53,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,19084,57,136.186051048,27.819560553878546,18.821758363000008,22.04262876138091,3.4439605890000005,8.254030537999999,8.256313848309219,0.15638867672532797,15.960372572999999,15.963530028238893,recovered
849,R_to_P,bosque62,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,9144,53,39.579747093,9.177373522892594,4.748987138,11.05334562715143,1.0214887690000003,2.383404518,2.3834707383066416,0.06606582552194595,6.256873264999999,6.257352245040238,recovered
849,P_to_R,bosque64,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,18529,53,81.31185433799999,20.511755412444472,12.753324808,21.217639634385705,2.4261088540000006,5.349990037000001,5.350118760950863,0.04380505997687578,13.305296176,13.305746263824403,recovered
850,R_to_P,bosque65,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,33745,81,525.5373876699999,91.58969232067466,62.17551490299999,72.86548926867545,11.363530427000008,23.330151963000002,23.330969693139195,0.8139534182846546,42.200183641,42.20132465753704,recovered
850,P_to_R,bosque63,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,49418,69,373.707384326,87.6917389780283,65.67948697200002,78.10170380212367,12.177306702,29.485051351,29.494330758228898,0.5087892608717084,57.689652667,57.71497730538249,recovered
