JobID|State|ExitCode|ElapsedRaw|TotalCPU|CPUTimeRAW|AllocCPUS|MaxRSS|NodeList
452980_265.batch|COMPLETED|0:0|5|00:06.694|80|16|3392K|bosque72
452980_265.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque72
452980_266|COMPLETED|0:0|15|00:53.043|240|16||bosque50
452980_266.batch|COMPLETED|0:0|15|00:53.040|240|16|3508K|bosque50
452980_266.extern|COMPLETED|0:0|15|00:00.003|240|16|4K|bosque50
452980_267|COMPLETED|0:0|12|00:36.960|192|16||bosque48
452980_267.batch|COMPLETED|0:0|12|00:36.957|192|16|3188K|bosque48
452980_267.extern|COMPLETED|0:0|12|00:00.003|192|16|1004K|bosque48
452980_268|COMPLETED|0:0|35|02:30.456|560|16||bosque48
452980_268.batch|COMPLETED|0:0|35|02:30.452|560|16|876868K|bosque48
452980_268.extern|COMPLETED|0:0|35|00:00.003|560|16|1008K|bosque48
452980_269|COMPLETED|0:0|40|02:41.245|640|16||bosque48
452980_269.batch|COMPLETED|0:0|40|02:41.242|640|16|1358628K|bosque48
452980_269.extern|COMPLETED|0:0|40|00:00.003|640|16|1036K|bosque48
452980_270|COMPLETED|0:0|19|01:08.173|304|16||bosque49
452980_270.batch|COMPLETED|0:0|19|01:08.169|304|16|3220K|bosque49
452980_270.extern|COMPLETED|0:0|19|00:00.003|304|16|4K|bosque49
452980_271|COMPLETED|0:0|41|02:37.379|656|16||bosque49
452980_271.batch|COMPLETED|0:0|41|02:37.375|656|16|1483336K|bosque49
452980_271.extern|COMPLETED|0:0|41|00:00.003|656|16|1016K|bosque49
452980_272|COMPLETED|0:0|7|00:19.652|112|16||bosque49
452980_272.batch|COMPLETED|0:0|7|00:19.648|112|16|3520K|bosque49
452980_272.extern|COMPLETED|0:0|7|00:00.003|112|16|4K|bosque49
452980_273|COMPLETED|0:0|9|00:25.534|144|16||bosque49
452980_273.batch|COMPLETED|0:0|9|00:25.530|144|16|3596K|bosque49
452980_273.extern|COMPLETED|0:0|9|00:00.003|144|16|4K|bosque49
452980_274|COMPLETED|0:0|10|00:26.727|160|16||bosque49
452980_274.batch|COMPLETED|0:0|10|00:26.723|160|16|3384K|bosque49
452980_274.extern|COMPLETED|0:0|10|00:00.003|160|16|4K|bosque49
452980_275|COMPLETED|0:0|5|00:09.076|80|16||bosque52
452980_275.batch|COMPLETED|0:0|5|00:09.072|80|16|3368K|bosque52
452980_275.extern|COMPLETED|0:0|5|00:00.003|80|16|300K|bosque52
452980_276|COMPLETED|0:0|12|00:48.676|192|16||bosque52
452980_276.batch|COMPLETED|0:0|12|00:48.673|192|16|3464K|bosque52
452980_276.extern|COMPLETED|0:0|12|00:00.003|192|16|4K|bosque52
452980_277|COMPLETED|0:0|6|00:15.455|96|16||bosque52
452980_277.batch|COMPLETED|0:0|6|00:15.452|96|16|3504K|bosque52
452980_277.extern|COMPLETED|0:0|6|00:00.003|96|16|300K|bosque52
452980_278|COMPLETED|0:0|4|00:04.157|64|16||bosque52
452980_278.batch|COMPLETED|0:0|4|00:04.154|64|16|3532K|bosque52
452980_278.extern|COMPLETED|0:0|4|00:00.003|64|16|304K|bosque52
452980_279|COMPLETED|0:0|4|00:04.233|64|16||bosque52
452980_279.batch|COMPLETED|0:0|4|00:04.230|64|16|3408K|bosque52
452980_279.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque52
452981_0|COMPLETED|0:0|30|00:00.137|60|2||bosque67
452981_0.batch|COMPLETED|0:0|30|00:00.133|60|2|3392K|bosque67
452981_0.extern|COMPLETED|0:0|31|00:00.003|62|2|4K|bosque67
452981_1|COMPLETED|0:0|33|00:01.098|66|2||bosque67
452981_1.batch|COMPLETED|0:0|33|00:01.094|66|2|3308K|bosque67
452981_1.extern|COMPLETED|0:0|33|00:00.003|66|2|4K|bosque67
452981_2|COMPLETED|0:0|32|00:01.334|64|2||bosque67
452981_2.batch|COMPLETED|0:0|32|00:01.330|64|2|3396K|bosque67
452981_2.extern|COMPLETED|0:0|32|00:00.004|64|2|4K|bosque67
452981_3|COMPLETED|0:0|35|00:01.022|70|2||bosque20
452981_3.batch|COMPLETED|0:0|35|00:01.018|70|2|3408K|bosque20
452981_3.extern|COMPLETED|0:0|35|00:00.004|70|2|4K|bosque20
452981_4|COMPLETED|0:0|32|00:01.136|64|2||bosque20
452981_4.batch|COMPLETED|0:0|32|00:01.131|64|2|3380K|bosque20
452981_4.extern|COMPLETED|0:0|32|00:00.004|64|2|4K|bosque20
452981_5|COMPLETED|0:0|33|00:00.986|66|2||bosque20
452981_5.batch|COMPLETED|0:0|33|00:00.982|66|2|3412K|bosque20
452981_5.extern|COMPLETED|0:0|34|00:00.004|68|2|4K|bosque20
452981_6|COMPLETED|0:0|33|00:01.050|66|2||bosque20
452981_6.batch|COMPLETED|0:0|33|00:01.046|66|2|3372K|bosque20
452981_6.extern|COMPLETED|0:0|33|00:00.003|66|2|4K|bosque20
452981_7|COMPLETED|0:0|33|00:01.080|66|2||bosque20
452981_7.batch|COMPLETED|0:0|33|00:01.076|66|2|3240K|bosque20
452981_7.extern|COMPLETED|0:0|33|00:00.003|66|2|4K|bosque20
452981_8|COMPLETED|0:0|36|00:01.010|72|2||bosque26
