step_id,n_atoms,core_size,label,ts_file,n_imag,reaction_mode_freq,core_fraction,imag_core_freq,imag_core_fraction,error
pr7.V.dodh_ts1314,38,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts13-14_b_benzene.xyz,3,-486.3889,0.9741041854862994,-486.3889,0.9741041854862994,
pr7.V.dodh_ts14,31,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts1-4_benzene.xyz,3,454.6175,0.7810327706057598,-302.2691,0.7237903225806451,
pr7.V.dodh_ts141,32,2,groundtruth,ts_groundtruth_01_reference_ts_01_ts14-1_benzene.xyz,2,184.0569,0.3322391325972346,-53.8084,0.14480629419380542,
pr7.V.dodh_ts156,38,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts15-6_benzene.xyz,2,-308.9754,0.8418185419968307,-308.9754,0.8418185419968307,
pr7.V.dodh_ts19,28,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts1-9_benzene.xyz,2,1864.0479,0.9811755281866426,-310.9928,0.864567716141929,
pr7.V.dodh_ts25-singlet,27,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts2-5_benzene.xyz,4,-1672.6246,0.9773362619808306,-1672.6246,0.9773362619808306,
pr7.V.dodh_ts25-triplet,27,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts2-5_triplet_benzene.xyz,2,3622.7195,1.0,-105.4883,0.24842421210605303,
pr7.V.dodh_ts32,31,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts3-2_benzene.xyz,2,524.0523,0.8616339607529035,-296.6381,0.8076615323064613,
pr7.V.dodh_ts45-singlet,41,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts4-5_benzene.xyz,6,562.7483,0.8280876494023903,-105.8808,0.2736789129340715,
pr7.V.dodh_ts45-triplet,41,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts4-5_triplet_benzene.xyz,3,531.3818,0.8449101796407185,-101.5147,0.19696667331869888,
