step_id,n_atoms,n_mapped,n_broken,n_formed,charge,multiplicity,broken_bonds,formed_bonds,time_s,error
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-D,37,35,4,6,0,1,1(Br)-2(C);12(P)-25(C);21(C)-22(H);21(C)-23(H),0(P)-17(C);2(C)-11(Pd);12(P)-33(C);33(C)-34(H);33(C)-35(H);33(C)-36(H),0.46,
pr5.Noyori_ts26,90,88,1,2,0,1,86(H)-87(H),0(Ru)-2(H);87(O)-89(H),0.75,
pr5.Noyori_ts45,88,88,2,2,0,1,26(Ru)-46(O);27(N)-65(H),0(Ru)-10(N);85(O)-87(H),0.41,
pr5.Noyori_ts56,87,85,1,2,0,1,85(H)-86(H),0(Ru)-2(H);9(N)-46(H),0.83,
pr5.Noyori_ts5H2,87,87,0,0,0,1,,,1.98,
pr5.Noyori_ts65,95,93,3,2,0,1,0(Ru)-2(H);9(N)-46(H);88(C)-93(O),45(O)-52(H);46(C)-71(H),0.42,
pr6.AlNHCs_tsI,59,59,1,0,0,1,0(C)-7(Al),,1.02,
pr6.AlNHCs_tsII,59,59,0,1,0,1,,4(C)-9(Al),1.18,
pr7.V.dodh_ts1011-triplet,38,38,1,1,-1,3,0(V)-18(O),11(P)-19(O),0.24,
pr7.V.dodh_ts1015,38,38,0,1,-1,1,,12(V)-22(P),0.24,
pr7.V.dodh_ts1112-triplet,38,38,1,1,-1,3,17(C)-18(O),8(V)-19(O),0.23,
pr7.V.dodh_ts13,31,31,0,1,-1,1,,10(V)-15(P),0.29,
pr7.V.dodh_ts1314,38,38,2,2,-1,1,8(V)-18(C);16(O)-17(C),10(V)-17(O);32(C)-33(C),0.22,
pr7.V.dodh_ts14,31,31,1,1,-1,1,0(V)-2(O),2(O)-18(P),0.29,
pr7.V.dodh_ts141,32,32,0,1,-1,1,,0(V)-4(O),0.28,
pr7.V.dodh_ts156,38,38,2,1,-1,1,12(V)-21(O);12(V)-22(P),24(O)-25(P),0.31,
pr7.V.dodh_ts19,28,28,2,2,-1,1,0(V)-2(O);19(C)-20(O),8(V)-15(O);9(O)-10(C),0.01,
